idx,longtail_scores
0,0.0655
1,0.058
2,0.039
3,0.0696
4,0.0786
5,0.0479
6,0.0386
7,0.0866
8,0.0527
9,0.0543
10,0.0883
11,0.0856
12,0.0954
13,0.1756
14,0.0483
15,0.0504
16,0.1221
17,0.0523
18,0.0344
19,0.0988
20,0.0972
21,0.0614
22,0.0834
23,0.0362
24,0.0612
25,0.0767
26,0.0532
27,0.0709
28,0.0641
29,0.0951
30,0.0415
31,0.0617
32,0.0582
33,0.0598
34,0.0686
35,0.1011
36,0.0816
37,0.0717
38,0.1767
39,0.1176
40,0.0589
41,0.1203
42,0.0808
43,0.0638
44,0.0976
45,0.0566
46,0.045
47,0.0534
48,0.0615
49,0.065
50,0.0439
51,0.0338
52,0.0388
53,0.0894
54,0.0958
55,0.0682
56,0.0375
57,0.0674
58,0.0397
59,0.0487
60,0.096
61,0.0756
62,0.0744
63,0.1149
64,0.0726
65,0.0823
66,0.0657
67,0.0551
68,0.1029
69,0.0446
70,0.0446
71,0.0945
72,0.0596
73,0.1242
74,0.0332
75,0.1187
76,0.1339
77,0.0672
78,0.0749
79,0.0439
80,0.0837
81,0.0663
82,0.0338
83,0.1205
84,0.0738
85,0.0573
86,0.1979
87,0.0719
88,0.1286
89,0.148
90,0.0574
91,0.2093
92,0.0495
93,0.0718
94,0.0905
95,0.0513
96,0.1077
97,0.0665
98,0.0368
99,0.1684
100,0.1046
101,0.0646
102,0.0448
103,0.0955
104,0.0764
105,0.0738
106,0.1079
107,0.0425
108,0.0417
109,0.1133
110,0.077
111,0.1129
112,0.1026
113,0.0832
114,0.0773
115,0.1053
116,0.1041
117,0.0593
118,0.0515
119,0.173
120,0.0425
121,0.0533
122,0.0757
123,0.1066
124,0.0923
125,0.0278
126,0.1318
127,0.0675
128,0.1583
129,0.0553
130,0.0838
131,0.0903
132,0.1281
133,0.0839
134,0.0465
135,0.0634
136,0.1013
137,0.042
138,0.1416
139,0.121
140,0.0375
141,0.0685
142,0.0659
143,0.062
144,0.0337
145,0.1002
146,0.114
147,0.1346
148,0.1167
149,0.0272
150,0.1274
151,0.1017
152,0.0858
153,0.0411
154,0.1321
155,0.0475
156,0.0588
157,0.1353
158,0.0292
159,0.0301
160,0.0997
161,0.0871
162,0.032
163,0.0995
164,0.045
165,0.0388
166,0.0398
167,0.0711
168,0.0582
169,0.0658
170,0.0526
171,0.1157
172,0.1039
173,0.0833
174,0.0561
175,0.0412
176,0.0771
177,0.0742
178,0.0344
179,0.0465
180,0.0255
181,0.0469
182,0.119
183,0.0991
184,0.1405
185,0.065
186,0.0901
187,0.058
188,0.0614
189,0.0339
190,0.0958
191,0.1382
192,0.0957
193,0.0845
194,0.0966
195,0.0368
196,0.1208
197,0.1276
198,0.0742
199,0.0862
200,0.1126
201,0.0732
202,0.0435
203,0.0683
204,0.0933
205,0.1422
206,0.0468
207,0.114
208,0.1275
209,0.0587
210,0.058
211,0.0377
212,0.0801
213,0.1733
214,0.122
215,0.056
216,0.1315
217,0.097
218,0.0363
219,0.0612
220,0.066
221,0.0889
222,0.057
223,0.0691
224,0.0392
225,0.1348
226,0.0393
227,0.1148
228,0.131
229,0.0431
230,0.08
231,0.0528
232,0.0513
233,0.0545
234,0.0526
235,0.0666
236,0.028
237,0.0661
238,0.1024
239,0.1025
240,0.0452
241,0.0264
242,0.0902
243,0.091
244,0.068
245,0.0709
246,0.0601
247,0.1341
248,0.0875
249,0.0434
250,0.0454
251,0.0502
252,0.0633
253,0.0682
254,0.035
255,0.1592
256,0.0486
257,0.077
258,0.0749
259,0.0838
260,0.0549
261,0.086
262,0.0852
263,0.0547
264,0.0664
265,0.0518
266,0.113
267,0.0713
268,0.077
269,0.0939
270,0.0224
271,0.0303
272,0.0327
273,0.0701
274,0.0893
275,0.1397
276,0.0414
277,0.1129
278,0.025
279,0.0861
280,0.0553
281,0.1165
282,0.0431
283,0.0859
284,0.1082
285,0.0341
286,0.1077
287,0.0296
288,0.1474
289,0.0671
290,0.1083
291,0.1606
292,0.0861
293,0.0648
294,0.038
295,0.0399
296,0.0531
297,0.1016
298,0.0365
299,0.0874
300,0.0363
301,0.1026
302,0.0463
303,0.0619
304,0.0535
305,0.0696
306,0.0308
307,0.0485
308,0.0206
309,0.0282
310,0.0577
311,0.0289
312,0.0667
313,0.0454
314,0.075
315,0.0258
316,0.0247
317,0.0418
318,0.0907
319,0.0705
320,0.0722
321,0.0672
322,0.0973
323,0.0651
324,0.0275
325,0.0452
326,0.0418
327,0.0259
328,0.0775
329,0.1545
330,0.1126
331,0.1676
332,0.0727
333,0.0293
334,0.0406
335,0.082
336,0.0991
337,0.0646
338,0.0558
339,0.029
340,0.1463
341,0.1231
342,0.0581
343,0.0757
344,0.0604
345,0.079
346,0.0403
347,0.0899
348,0.0521
349,0.1005
350,0.0301
351,0.0766
352,0.026
353,0.1394
354,0.0859
355,0.1179
356,0.1223
357,0.0346
358,0.0981
359,0.0768
360,0.0255
361,0.0445
362,0.0501
363,0.1049
364,0.0297
365,0.0386
366,0.0559
367,0.0534
368,0.0476
369,0.0262
370,0.0821
371,0.0426
372,0.0769
373,0.0404
374,0.0432
375,0.1435
376,0.0737
377,0.0396
378,0.1044
379,0.0459
380,0.0978
381,0.0526
382,0.111
383,0.126
384,0.0518
385,0.1394
386,0.0835
387,0.0256
388,0.1
389,0.0924
390,0.0338
391,0.0772
392,0.0569
393,0.0319
394,0.0693
395,0.048
396,0.193
397,0.0926
398,0.046
399,0.0435
400,0.0566
401,0.045
402,0.1084
403,0.0559
404,0.0459
405,0.0669
406,0.0659
407,0.1104
408,0.0547
409,0.0863
410,0.0779
411,0.0581
412,0.0819
413,0.1986
414,0.1139
415,0.091
416,0.0636
417,0.0726
418,0.048
419,0.064
420,0.0812
421,0.1319
422,0.0827
423,0.1717
424,0.0954
425,0.0407
426,0.104
427,0.0764
428,0.0284
429,0.0272
430,0.0641
431,0.0837
432,0.0648
433,0.0485
434,0.0326
435,0.1046
436,0.0714
437,0.0407
438,0.0443
439,0.0305
440,0.1419
441,0.1145
442,0.0346
443,0.0996
444,0.0817
445,0.1438
446,0.073
447,0.0833
448,0.086
449,0.0365
450,0.1028
451,0.1057
452,0.0571
453,0.1073
454,0.036
455,0.0639
456,0.1045
457,0.0365
458,0.0366
459,0.044
460,0.08
461,0.0448
462,0.0504
463,0.0577
464,0.0512
465,0.1238
466,0.1747
467,0.0509
468,0.0919
469,0.1052
470,0.0791
471,0.0843
472,0.0645
473,0.0678
474,0.1002
475,0.0612
476,0.1559
477,0.0339
478,0.0787
479,0.0816
480,0.047
481,0.0339
482,0.0893
483,0.0591
484,0.1232
485,0.0813
486,0.0473
487,0.0351
488,0.0644
489,0.1459
490,0.0514
491,0.0886
492,0.0556
493,0.0647
494,0.0476
495,0.0906
496,0.112
497,0.0432
498,0.0475
499,0.0329
500,0.1662
501,0.0719
502,0.0811
503,0.0387
504,0.0971
505,0.0859
506,0.127
507,0.0846
508,0.0899
509,0.0826
510,0.1139
511,0.034
512,0.0499
513,0.0752
514,0.0894
515,0.0683
516,0.0418
517,0.0419
518,0.1798
519,0.0856
520,0.0991
521,0.0241
522,0.0329
523,0.1507
524,0.0681
525,0.0536
526,0.1222
527,0.0412
528,0.1748
529,0.0513
530,0.0951
